Date,Day,Gym Time (min),Workout Type,Time of Day,Crowdedness (1–5),Free Time (min)
4/24,Friday,60,Pull,Afternoon,3,180
4/25,Saturday,0,N/A,N/A,N/A,0
4/26,Sunday,0,N/A,N/A,N/A,0
4/27,Monday,51,Leg,Afternoon,4,120
4/28,Tuesday,63,Push,Afternoon,2,75
4/29,Wednesday,46,Pull,Afternoon,1,120
4/30,Thursday,66,Push,Evening,4,90
5/1,Friday,52,Leg,Morning,2,120
5/2,Saturday,0,N/A,N/A,N/A,0
5/3,Sunday,0,N/A,N/A,N/A,0
5/4,Monday,55,Pull,Afternoon,4,105
5/5,Tuesday,62,Push,Evening,3,90
5/6,Wednesday,49,Leg,Afternoon,2,135
5/7,Thursday,68,Pull,Evening,4,75
5/8,Friday,57,Push,Afternoon,3,120
5/9,Saturday,0,N/A,N/A,N/A,0
5/10,Sunday,0,N/A,N/A,N/A,0
5/11,Monday,53,Leg,Afternoon,4,90
5/12,Tuesday,65,Pull,Evening,2,120
5/13,Wednesday,47,Push,Afternoon,1,150
5/14,Thursday,70,Leg,Evening,5,60
5/15,Friday,59,Pull,Afternoon,3,105
5/16,Saturday,42,Push,Morning,2,180
5/17,Sunday,0,N/A,N/A,N/A,0
5/18,Monday,54,Leg,Afternoon,4,90
5/19,Tuesday,61,Pull,Evening,3,105
5/20,Wednesday,48,Push,Afternoon,2,120
5/21,Thursday,67,Leg,Evening,4,75
5/22,Friday,56,Pull,Afternoon,3,135
